anime_id,title,score,start_date,end_date,num_episodes,airing_days,airing_weeks
24377,Spocon!,7.0,2014-09-26 00:00:00,2014-10-31 00:00:00,2,35,5.0
2195,Heisa Byouin,5.9,2003-12-12 00:00:00,2004-03-12 00:00:00,2,91,13.0
4487,Ebenbourg no Kaze,5.5,2003-07-25 00:00:00,2003-09-26 00:00:00,2,63,9.0
2788,Stratosphera no Yousei,5.7,2002-11-21 00:00:00,2002-12-26 00:00:00,3,35,5.0
9935,Chocolat no Mahou,6.2,2011-03-03 00:00:00,2013-01-19 00:00:00,13,688,98.3
5424,Oppai Life,6.6,2008-10-10 00:00:00,2009-01-09 00:00:00,2,91,13.0
35931,Kime Koi!,7.0,2017-10-06 00:00:00,2017-12-22 00:00:00,2,77,11.0
2863,21-ji no Onna: Newscaster Katsuragi Miki,5.8,2001-04-21 00:00:00,2001-11-21 00:00:00,3,214,30.6
10350,Hakuouki: Sekkaroku,7.6,2011-08-05 00:00:00,2012-06-27 00:00:00,6,327,46.7
2917,Seijun Kango Gakuin,6.2,2002-10-25 00:00:00,2003-05-30 00:00:00,3,217,31.0
3307,Moke Moke Taishou Dendo Musume Arisa,6.1,2005-05-27 00:00:00,2005-07-29 00:00:00,2,63,9.0
37340,Venus Blood: Brave,6.0,2018-12-21 00:00:00,2020-03-06 00:00:00,4,441,63.0
2377,Kisaku,6.4,2002-01-25 00:00:00,2003-03-28 00:00:00,6,427,61.0
625,Moekan The Animation,5.4,2003-12-19 00:00:00,2004-07-23 00:00:00,3,217,31.0
24743,Yakin Byoutou Specials,5.6,2003-03-28 00:00:00,2004-04-30 00:00:00,2,399,57.0
14995,JK to Ero Giin Sensei,6.6,2012-09-28 00:00:00,2013-04-26 00:00:00,2,210,30.0
5173,Jokutsuma,5.7,2007-12-10 00:00:00,2008-08-31 00:00:00,2,265,37.9
1770,Unbalance,5.8,2002-06-28 00:00:00,2002-12-27 00:00:00,3,182,26.0
27363,Yakata: Kannou Kitan,6.8,2014-11-28 00:00:00,2015-02-27 00:00:00,2,91,13.0
3513,Tanjou: Debut,4.7,1994-10-21 00:00:00,1994-12-21 00:00:00,2,61,8.7
2328,Kyouhaku II (Second): Mou Hitotsu no Ashita The Animation,6.1,2001-07-27 00:00:00,2002-02-22 00:00:00,3,210,30.0
1813,Genshiken OVA,7.6,2006-12-22 00:00:00,2007-04-25 00:00:00,3,124,17.7
5781,Isekai no Seikishi Monogatari,7.7,2009-05-22 00:00:00,2010-05-26 00:00:00,13,369,52.7
1702,Yoru ga Kuru!,5.5,2002-04-25 00:00:00,2003-02-21 00:00:00,4,302,43.1
34030,Bokura no Sex,6.6,2016-11-25 00:00:00,2017-01-27 00:00:00,2,63,9.0
1556,Kikoushi Enma,7.1,2006-08-24 00:00:00,2007-03-23 00:00:00,4,211,30.1
5455,Saimin Jutsu The Animation 2nd,6.5,2008-10-25 00:00:00,2009-02-25 00:00:00,2,123,17.6
2134,Famiresu Senshi Purin,6.4,2004-05-25 00:00:00,2005-02-25 00:00:00,3,276,39.4
2338,Youjuu Kyoushitsu,5.0,1990-05-25 00:00:00,1994-05-27 00:00:00,6,1463,209.0
40471,Nozoki Kanojo,5.9,2019-12-27 00:00:00,2021-08-27 00:00:00,4,609,87.0
2872,Asgaldh: The Distortion Testament,5.7,2001-10-26 00:00:00,2002-04-05 00:00:00,3,161,23.0
1944,Photon,7.0,1997-11-21 00:00:00,1999-02-18 00:00:00,6,454,64.9
2185,Words Worth Gaiden,5.8,2002-07-25 00:00:00,2002-09-25 00:00:00,2,62,8.9
1512,Court no Naka no Tenshi-tachi,5.8,2000-10-27 00:00:00,2000-12-15 00:00:00,2,49,7.0
2958,Hitozuma Cosplay Kissa,6.1,2004-03-25 00:00:00,2004-08-25 00:00:00,2,153,21.9
1747,Freedom,7.4,2006-11-24 00:00:00,2008-05-23 00:00:00,7,546,78.0
2375,Shusaku Replay,5.9,2000-07-28 00:00:00,2001-01-26 00:00:00,4,182,26.0
40048,Kutsujoku,6.8,2019-11-01 00:00:00,2019-12-06 00:00:00,2,35,5.0
3998,Tokumu Sousakan Rei & Fuko,6.3,2006-10-10 00:00:00,2008-02-29 00:00:00,4,507,72.4
13379,Okusama wa Michael,6.2,2012-04-20 00:00:00,2014-06-06 00:00:00,2,777,111.0
556,Koutetsu Tenshi Kurumi Zero,6.1,2001-04-18 00:00:00,2001-06-20 00:00:00,3,63,9.0
8289,Toumei Ningen R,6.4,2010-03-12 00:00:00,2010-06-11 00:00:00,2,91,13.0
13937,Saishuu Chikan Densha Next,6.7,2012-07-27 00:00:00,2012-10-26 00:00:00,2,91,13.0
10420,Gakuen 3,6.6,2011-03-18 00:00:00,2011-07-22 00:00:00,2,126,18.0
975,Yokohama Kaidashi Kikou,7.4,1998-05-21 00:00:00,1998-12-02 00:00:00,2,195,27.9
1821,Guren,6.2,2001-09-07 00:00:00,2002-03-29 00:00:00,3,203,29.0
4164,Kounai Shasei,5.9,1990-05-25 00:00:00,1992-08-25 00:00:00,3,823,117.6
319,Happy World!,6.0,2002-12-13 00:00:00,2003-06-27 00:00:00,3,196,28.0
1036,Kashou no Tsuki: Aki Kyougen,6.0,1998-12-19 00:00:00,1999-01-21 00:00:00,2,33,4.7
49760,Zoku Oujo & Onna Kishi W Do Gehin Roshutsu: Chijoku no Misemono Dorei,5.3,2021-10-15 00:00:00,2021-11-19 00:00:00,2,35,5.0
19629,Zecchou Rocket,6.2,2013-10-18 00:00:00,2013-12-13 00:00:00,2,56,8.0
34532,Terra Formars: Earth-hen,6.2,2018-08-17 00:00:00,2018-11-19 00:00:00,2,94,13.4
36849,Nariyuki→Papakatsu Girls!! The Animation,6.9,2018-02-23 00:00:00,2018-06-29 00:00:00,2,126,18.0
4731,Hiiro no Koku,5.2,1999-09-18 00:00:00,2000-09-15 00:00:00,5,363,51.9
3586,Isaku,5.5,1997-11-28 00:00:00,1998-05-29 00:00:00,3,182,26.0
12769,Yumemakura Baku Twilight Gekijou,4.8,1991-05-21 00:00:00,1991-11-21 00:00:00,4,184,26.3
3527,Lesbian Byoutou,5.3,2003-03-06 00:00:00,2003-06-20 00:00:00,2,106,15.1
19953,Zetsumetsu Kigu Shoujo: Amazing Twins,6.4,2014-02-26 00:00:00,2014-06-25 00:00:00,2,119,17.0
1811,Bounty Dog: Getsumen no Ibu,5.5,1994-10-01 00:00:00,1994-11-01 00:00:00,2,31,4.4
5674,Ashita no Yukinojou,5.6,2002-09-27 00:00:00,2003-05-23 00:00:00,4,238,34.0
3538,Dorei Kaigo,6.2,2003-01-24 00:00:00,2003-07-25 00:00:00,3,182,26.0
194,Macross Zero,7.5,2002-12-21 00:00:00,2004-10-20 00:00:00,5,669,95.6
30679,Queen's Blade: Grimoire,6.2,2016-01-29 00:00:00,2016-09-28 00:00:00,2,243,34.7
8577,Aki-Sora: Yume no Naka,6.0,2010-07-30 00:00:00,2010-11-17 00:00:00,2,110,15.7
42048,Succubus Stayed Life The Animation,7.2,2020-08-28 00:00:00,2020-12-23 00:00:00,2,117,16.7
9326,Yubisaki Annainin Shirudaku Settai Okawari Sanhaime,5.8,2010-09-17 00:00:00,2010-12-17 00:00:00,3,91,13.0
36033,Kagirohi: Shaku Kei - Another,6.3,2017-10-27 00:00:00,2018-02-23 00:00:00,4,119,17.0
23519,Enbi,6.4,2014-05-02 00:00:00,2014-09-05 00:00:00,2,126,18.0
3288,Gundam Evolve,6.6,2001-03-20 00:00:00,2007-01-26 00:00:00,15,2138,305.4
9309,Kansen 3: Shuto Houkai,6.5,2010-09-24 00:00:00,2010-12-24 00:00:00,2,91,13.0
29915,Junai Maniac,6.5,2015-04-17 00:00:00,2015-07-17 00:00:00,2,91,13.0
40519,Youma Shoukan e Youkoso,6.7,2020-02-07 00:00:00,2020-03-06 00:00:00,2,28,4.0
38995,Hinagiku Virgin Lost Club e Youkoso,6.9,2019-03-15 00:00:00,2019-05-24 00:00:00,2,70,10.0
10327,Cosplay Roshutsu Kenkyuukai,6.1,2011-04-22 00:00:00,2011-07-22 00:00:00,2,91,13.0
9855,Shujii no Inbou,5.4,2011-02-11 00:00:00,2011-05-13 00:00:00,2,91,13.0
1079,Armitage III,7.0,1995-02-25 00:00:00,1995-11-25 00:00:00,4,273,39.0
14661,Kindan no Byoutou The Animation,6.6,2012-09-28 00:00:00,2012-12-21 00:00:00,2,84,12.0
7044,Zan Sayonara Zetsubou Sensei Bangaichi,7.8,2009-11-17 00:00:00,2010-02-17 00:00:00,2,92,13.1
7276,Natsumushi The Animation,6.6,2009-12-25 00:00:00,2010-03-26 00:00:00,2,91,13.0
361,Memories Off,5.9,2001-11-21 00:00:00,2002-03-06 00:00:00,3,105,15.0
9257,Denki Musou Hana,4.4,2007-06-25 00:00:00,2007-10-25 00:00:00,2,122,17.4
201,Video Girl Ai,7.2,1992-03-27 00:00:00,1992-08-28 00:00:00,6,154,22.0
44193,Ano Ko no Kawari ni Suki na Dake,6.4,2020-12-18 00:00:00,2021-02-26 00:00:00,2,70,10.0
